INCIDENTNEIGHBORHOOD,Pop
Allegheny Center,1423
Allegheny West,540
Allentown,2318
Arlington,1814
Arlington Heights,267
Banksville,4952
Bedford Dwellings,1399
Beechview,8065
Beltzhoover,1636
Bloomfield,8674
Bluff,5899
Bon Air,759
Brighton Heights,7383
Brookline,14232
California-Kirkbride,721
Carrick,11678
Central Business District,5483
Central Lawrenceville,4722
Central Northside,2984
Central Oakland,5835
Chartiers City,494
Chateau,19
Crafton Heights,4468
Crawford-Roberts,2306
Duquesne Heights,2398
East Allegheny,1909
East Carnegie,699
East Hills,3532
East Liberty,6203
Elliott,2207
Esplen,335
Fairywood,2021
Fineview,1143
Friendship,1965
Garfield,3671
Glen Hazel,663
Greenfield,7266
Hays,1712
Hazelwood,3933
Highland Park,6240
Homewood North,2881
Homewood South,2402
Homewood West,650
Knoxville,3798
Larimer,1567
Lincoln Place,4315
Lincoln‑Lemington‑Belmar,4151
Lower Lawrenceville,2649
Manchester,2044
Marshall‑Shadeland,4089
Middle Hill,1774
Morningside,3257
Mount Washington,8718
Mt. Oliver,712
New Homestead,1858
North Oakland,10692
North Shore,301
Northview Heights,2257
Oakwood,1519
Overbrook,3936
Perry North,4320
Perry South,3797
Point Breeze,5700
Point Breeze North,1998
Polish Hill,1203
Regent Square,1751
Ridgemont,696
Shadyside,15321
Sheraden,5188
South Oakland,3335
South Shore,29
South Side Flats,7471
South Side Slopes,4334
Spring Garden,1329
Spring Hill‑City View,2372
Squirrel Hill North,11879
Squirrel Hill South,15301
St. Clair,190
Stanton Heights,4435
Strip District,1845
Summer Hill,1407
Swisshelm Park,1700
Terrace Village,2403
Troy Hill,2910
Upper Hill,1729
Upper Lawrenceville,2400
West End,205
West Oakland,2478
Westwood,3813
Windgap,1584
